#id sdkAdded compatAdded codepoints
1F47C 19 1 1F47C
1F47D 19 1 1F47D
1F47E 19 1 1F47E
1F47F 19 1 1F47F
1F480 19 1 1F480
1F481 19 1 1F481
1F482 19 1 1F482
1F483 19 1 1F483
1F484 19 1 1F484
1F485 19 1 1F485
1F486 19 1 1F486
1F487 19 1 1F487
1F488 19 1 1F488
1F489 19 1 1F489
1F48A 19 1 1F48A
1F48B 19 1 1F48B
1F48C 19 1 1F48C
1F48D 19 1 1F48D
1F48E 19 1 1F48E
1F48F 19 1 1F48F
1F490 19 1 1F490
1F491 19 1 1F491
1F492 19 1 1F492
1F493 19 1 1F493
1F494 19 1 1F494
1F495 19 1 1F495
1F496 19 1 1F496
1F497 19 1 1F497
1F498 19 1 1F498
1F499 19 1 1F499
1F49A 19 1 1F49A
1F49B 19 1 1F49B
1F49C 19 1 1F49C
1F49D 19 1 1F49D
1F49E 19 1 1F49E
1F49F 19 1 1F49F
1F4A0 19 1 1F4A0
1F4A1 19 1 1F4A1
1F4A2 19 1 1F4A2
1F4A3 19 1 1F4A3
1F4A4 19 1 1F4A4
1F4A5 19 1 1F4A5
1F4A6 19 1 1F4A6
1F4A7 19 1 1F4A7
1F4A8 19 1 1F4A8
1F4A9 19 1 1F4A9
1F4AA 19 1 1F4AA
1F4AB 19 1 1F4AB
1F4AC 19 1 1F4AC
1F4AD 19 1 1F4AD
1F4AE 19 1 1F4AE
1F4AF 19 1 1F4AF
1F4B0 19 1 1F4B0
1F4B1 19 1 1F4B1
1F4B2 19 1 1F4B2
1F4B3 19 1 1F4B3
1F4B4 19 1 1F4B4
1F4B5 19 1 1F4B5
1F4B6 19 1 1F4B6
1F4B7 19 1 1F4B7
1F4B8 19 1 1F4B8
1F4B9 19 1 1F4B9
1F4BA 19 1 1F4BA
1F4BB 19 1 1F4BB
1F4BC 19 1 1F4BC
1F4BD 19 1 1F4BD
1F4BE 19 1 1F4BE
1F4BF 19 1 1F4BF
1F4C0 19 1 1F4C0
1F4C1 19 1 1F4C1
1F4C2 19 1 1F4C2
1F4C3 19 1 1F4C3
1F4C4 19 1 1F4C4
1F4C5 19 1 1F4C5
1F4C6 19 1 1F4C6
1F4C7 19 1 1F4C7
1F4C8 19 1 1F4C8
1F4C9 19 1 1F4C9
1F4CA 19 1 1F4CA
1F4CB 19 1 1F4CB
1F4CC 19 1 1F4CC
1F4CD 19 1 1F4CD
1F4CE 19 1 1F4CE
1F4CF 19 1 1F4CF
1F4D0 19 1 1F4D0
1F4D1 19 1 1F4D1
1F4D2 19 1 1F4D2
1F4D3 19 1 1F4D3
1F4D4 19 1 1F4D4
1F4D5 19 1 1F4D5
1F4D6 19 1 1F4D6
1F4D7 19 1 1F4D7
1F4D8 19 1 1F4D8
1F4D9 19 1 1F4D9
1F4DA 19 1 1F4DA
1F4DB 19 1 1F4DB
1F4DC 19 1 1F4DC
1F4DD 19 1 1F4DD
1F4DE 19 1 1F4DE
1F4DF 19 1 1F4DF
1F4E0 19 1 1F4E0
1F4E1 19 1 1F4E1
1F4E2 19 1 1F4E2
1F4E3 19 1 1F4E3
1F4E4 19 1 1F4E4
1F4E5 19 1 1F4E5
1F4E6 19 1 1F4E6
1F4E7 19 1 1F4E7
1F4E8 19 1 1F4E8
1F4E9 19 1 1F4E9
1F4EA 19 1 1F4EA
1F4EB 19 1 1F4EB
1F4EC 19 1 1F4EC
1F4ED 19 1 1F4ED
1F4EE 19 1 1F4EE
1F4EF 19 1 1F4EF
1F4F0 19 1 1F4F0
1F4F1 19 1 1F4F1
1F4F2 19 1 1F4F2
1F4F3 19 1 1F4F3
1F4F4 19 1 1F4F4
1F4F5 19 1 1F4F5
1F4F6 19 1 1F4F6
1F4F7 19 1 1F4F7
1F4F8 23 1 1F4F8
1F4F9 19 1 1F4F9
1F4FA 19 1 1F4FA
1F4FB 19 1 1F4FB
1F4FC 19 1 1F4FC
1F4FD 23 1 1F4FD
1F4FF 23 1 1F4FF
1F500 19 1 1F500
1F501 19 1 1F501
1F502 19 1 1F502
1F503 19 1 1F503
1F504 19 1 1F504
1F505 19 1 1F505
1F506 19 1 1F506
1F507 19 1 1F507
1F508 19 1 1F508
1F509 19 1 1F509
1F50A 19 1 1F50A
1F50B 19 1 1F50B
1F50C 19 1 1F50C
1F50D 19 1 1F50D
1F50E 19 1 1F50E
1F50F 19 1 1F50F
1F510 19 1 1F510
1F511 19 1 1F511
1F512 19 1 1F512
1F513 19 1 1F513
1F514 19 1 1F514
1F515 19 1 1F515
1F516 19 1 1F516
1F517 19 1 1F517
1F518 19 1 1F518
1F519 19 1 1F519
1F51A 19 1 1F51A
1F51B 19 1 1F51B
1F51C 19 1 1F51C
1F51D 19 1 1F51D
1F51E 19 1 1F51E
1F51F 19 1 1F51F
1F520 19 1 1F520
1F521 19 1 1F521
1F522 19 1 1F522
1F523 19 1 1F523
1F524 19 1 1F524
1F525 19 1 1F525
1F526 19 1 1F526
1F527 19 1 1F527
1F528 19 1 1F528
1F529 19 1 1F529
1F52A 19 1 1F52A
1F52B 19 1 1F52B
1F52C 19 1 1F52C
1F52D 19 1 1F52D
1F52E 19 1 1F52E
1F52F 19 1 1F52F
1F530 19 1 1F530
1F531 19 1 1F531
1F532 19 1 1F532
1F533 19 1 1F533
1F534 19 1 1F534
